alpha,ws,kernel,bandwidth,gridsize,F1,tp,tn,fp,fn,AUCPR,FNR,FPR,elapsed
0.9,10,gaussian,variance,50,0.5800756620428752,460,334,396,270,0.5274262839962757,0.3698630136986301,0.5424657534246575,624.281783
0.9,10,gaussian,variance,80,0.5212922173274597,355,453,277,375,0.37569018541265065,0.5136986301369864,0.37945205479452054,626.667796
0.9,10,gaussian,variance,100,0.49702380952380953,334,450,280,396,0.47415622546854097,0.5424657534246575,0.3835616438356164,648.276048
0.9,10,gaussian,scott,50,0.5426008968609866,363,485,245,367,0.49047358902473004,0.5027397260273972,0.3356164383561644,649.277736
0.9,10,gaussian,scott,80,0.5814917127071824,421,433,297,309,0.4522882509690794,0.4232876712328767,0.40684931506849314,643.654245
0.9,10,gaussian,scott,100,0.5515239477503628,380,462,268,350,0.4974028584466015,0.4794520547945205,0.36712328767123287,630.804579
0.9,10,gaussian,silverman,50,0.55756698044895,385,464,266,345,0.4808815662658265,0.4726027397260274,0.3643835616438356,610.405888
0.9,10,gaussian,silverman,80,0.5488165680473372,371,479,251,359,0.4546640059819297,0.4917808219178082,0.34383561643835614,611.569057
0.9,10,gaussian,silverman,100,0.564755838641189,399,446,284,331,0.464602802318656,0.4534246575342466,0.38904109589041097,614.414872
0.9,10,cosine,variance,50,0.5253521126760563,373,413,317,357,0.49126123965800583,0.48904109589041095,0.43424657534246575,646.997677
0.9,10,cosine,variance,80,0.5028571428571429,352,412,318,378,0.4604392236957748,0.5178082191780822,0.43561643835616437,668.086673
0.9,10,cosine,variance,100,0.5118881118881119,366,396,334,364,0.4090455039772695,0.4986301369863014,0.4575342465753425,664.950006
0.9,10,cosine,scott,50,0.5748884639898024,451,342,388,279,0.4873117657893287,0.3821917808219178,0.5315068493150685,665.074378
0.9,10,cosine,scott,80,0.5194029850746269,348,468,262,382,0.48503292301383694,0.5232876712328767,0.3589041095890411,659.154052
0.9,10,cosine,scott,100,0.543728813559322,401,386,344,329,0.5431417796301953,0.4506849315068493,0.4712328767123288,678.131801
0.9,10,cosine,silverman,50,0.5878674171357098,470,331,399,260,0.522121409486587,0.3561643835616438,0.5465753424657535,680.780174
0.9,10,cosine,silverman,80,0.5543766578249337,418,370,360,312,0.39735510782588523,0.4273972602739726,0.4931506849315068,668.076865
0.9,10,cosine,silverman,100,0.5155807365439093,364,412,318,366,0.596045110199052,0.5013698630136987,0.43561643835616437,703.483315
0.9,10,epanechnikov,variance,50,0.4694980694980695,304,469,261,426,0.4949462731869605,0.5835616438356165,0.35753424657534244,644.258559
0.9,10,epanechnikov,variance,80,0.46904024767801855,303,471,259,427,0.45815891572768686,0.584931506849315,0.3547945205479452,654.738837
0.9,10,epanechnikov,variance,100,0.47104851330203446,301,483,247,429,0.40237245093690327,0.5876712328767123,0.33835616438356164,655.110604
0.9,10,epanechnikov,scott,50,0.558047493403694,423,367,363,307,0.48907863593980544,0.42054794520547945,0.49726027397260275,651.541341
0.9,10,epanechnikov,scott,80,0.5091743119266054,333,485,245,397,0.48151246721811936,0.5438356164383562,0.3356164383561644,657.924049
0.9,10,epanechnikov,scott,100,0.5300146412884333,362,456,274,368,0.4634180664360982,0.5041095890410959,0.37534246575342467,654.130255
0.9,10,epanechnikov,silverman,50,0.5045871559633027,330,482,248,400,0.49084148705596814,0.547945205479452,0.33972602739726027,641.405373
0.9,10,epanechnikov,silverman,80,0.564993564993565,439,345,385,291,0.432135805457079,0.39863013698630134,0.5273972602739726,668.312811
0.9,10,epanechnikov,silverman,100,0.4620408163265306,283,518,212,447,0.4698591275519116,0.6123287671232877,0.29041095890410956,667.406338
0.95,10,gaussian,variance,50,0.5806045340050378,461,333,397,269,0.5274262839962758,0.3684931506849315,0.5438356164383562,635.588422
0.95,10,gaussian,variance,80,0.5212922173274597,355,453,277,375,0.37569018541265065,0.5136986301369864,0.37945205479452054,648.011717
0.95,10,gaussian,variance,100,0.49702380952380953,334,450,280,396,0.47415622546854097,0.5424657534246575,0.3835616438356164,653.237483
0.95,10,gaussian,scott,50,0.5418208734270911,366,475,255,364,0.4796954580974578,0.4986301369863014,0.3493150684931507,604.807
0.95,10,gaussian,scott,80,0.5814917127071824,421,433,297,309,0.4526392672499888,0.4232876712328767,0.40684931506849314,611.16344
0.95,10,gaussian,scott,100,0.5259203606311045,350,479,251,380,0.5013783187085972,0.5205479452054794,0.34383561643835614,627.032675
0.95,10,gaussian,silverman,50,0.5553145336225597,384,461,269,346,0.4669218242203868,0.473972602739726,0.3684931506849315,607.727772
0.95,10,gaussian,silverman,80,0.5539358600583091,380,468,262,350,0.47540670294810106,0.4794520547945205,0.3589041095890411,615.946827
0.95,10,gaussian,silverman,100,0.564755838641189,399,446,284,331,0.464602802318656,0.4534246575342466,0.38904109589041097,635.672803
0.95,10,cosine,variance,50,0.5253521126760563,373,413,317,357,0.49126123965800583,0.48904109589041095,0.43424657534246575,649.767138
0.95,10,cosine,variance,80,0.5028571428571429,352,412,318,378,0.4604392236957748,0.5178082191780822,0.43561643835616437,670.129613
0.95,10,cosine,variance,100,0.5118881118881119,366,396,334,364,0.4090455039772695,0.4986301369863014,0.4575342465753425,687.885083
0.95,10,cosine,scott,50,0.5748884639898024,451,342,388,279,0.4873117657893287,0.3821917808219178,0.5315068493150685,657.440301
0.95,10,cosine,scott,80,0.49334377447141736,315,498,232,415,0.47756323602522044,0.5684931506849316,0.3178082191780822,654.259569
0.95,10,cosine,scott,100,0.543728813559322,401,386,344,329,0.5431417796301953,0.4506849315068493,0.4712328767123288,683.361785
0.95,10,cosine,silverman,50,0.5878674171357098,470,331,399,260,0.522121409486587,0.3561643835616438,0.5465753424657535,673.80869
0.95,10,cosine,silverman,80,0.5543766578249337,418,370,360,312,0.39735510782588523,0.4273972602739726,0.4931506849315068,681.038483
0.95,10,cosine,silverman,100,0.5155807365439093,364,412,318,366,0.596045110199052,0.5013698630136987,0.43561643835616437,700.586481
0.95,10,epanechnikov,variance,50,0.4694980694980695,304,469,261,426,0.4949462731869605,0.5835616438356165,0.35753424657534244,654.763576
0.95,10,epanechnikov,variance,80,0.46904024767801855,303,471,259,427,0.45815891572768686,0.584931506849315,0.3547945205479452,649.219533
0.95,10,epanechnikov,variance,100,0.47104851330203446,301,483,247,429,0.40237245093690327,0.5876712328767123,0.33835616438356164,655.750516
0.95,10,epanechnikov,scott,50,0.558047493403694,423,367,363,307,0.48907863593980544,0.42054794520547945,0.49726027397260275,653.591699
0.95,10,epanechnikov,scott,80,0.5091743119266054,333,485,245,397,0.48094490481814045,0.5438356164383562,0.3356164383561644,653.102212
