alpha,ws,kernel,bandwidth,gridsize,F1,tp,tn,fp,fn,AUCPR,FNR,FPR,elapsed
0.95,11,gaussian,silverman,100,0.92,69,89,1,11,0.9402980099984114,0.1375,0.011111111111111112,66.574853
0.95,11,cosine,variance,50,0.9041095890410958,66,90,0,14,0.9708333333333332,0.175,0.0,70.709271
0.95,11,cosine,variance,80,0.9041095890410958,66,90,0,14,0.9708333333333332,0.175,0.0,72.616576
0.95,11,cosine,variance,100,0.9041095890410958,66,90,0,14,0.9708333333333333,0.175,0.0,72.851908
0.95,11,cosine,scott,50,0.8839779005524862,80,69,21,0,0.8433891233644236,0.0,0.23333333333333334,68.925007
0.95,11,cosine,scott,80,0.8977272727272727,79,73,17,1,0.8320654016692748,0.0125,0.18888888888888888,70.133502
0.95,11,cosine,scott,100,0.8531468531468531,61,88,2,19,0.8320644248195547,0.2375,0.022222222222222223,71.206614
0.95,11,cosine,silverman,50,0.8903225806451613,69,84,6,11,0.9289470275761494,0.1375,0.06666666666666667,65.140343
0.95,11,cosine,silverman,80,0.8903225806451613,69,84,6,11,0.9289470275761494,0.1375,0.06666666666666667,66.752155
0.95,11,cosine,silverman,100,0.8611111111111112,62,88,2,18,0.888251923760659,0.225,0.022222222222222223,69.041405
0.95,11,epanechnikov,variance,50,0.9041095890410958,66,90,0,14,0.9708333333333332,0.175,0.0,69.513911
0.95,11,epanechnikov,variance,80,0.9041095890410958,66,90,0,14,0.9708333333333332,0.175,0.0,70.188124
0.95,11,epanechnikov,variance,100,0.9041095890410958,66,90,0,14,0.9708333333333333,0.175,0.0,72.256401
0.95,11,epanechnikov,scott,50,0.8839779005524862,80,69,21,0,0.8433891233644236,0.0,0.23333333333333334,67.34689
0.95,11,epanechnikov,scott,80,0.8977272727272727,79,73,17,1,0.8320654016692748,0.0125,0.18888888888888888,70.080813
0.95,11,epanechnikov,scott,100,0.8918918918918919,66,88,2,14,0.8713569724800415,0.175,0.022222222222222223,68.021855
0.95,11,epanechnikov,silverman,50,0.8780487804878049,72,78,12,8,0.8651989238510482,0.1,0.13333333333333333,68.407947
0.95,11,epanechnikov,silverman,80,0.8903225806451613,69,84,6,11,0.9289470275761494,0.1375,0.06666666666666667,65.200377
0.95,11,epanechnikov,silverman,100,0.8609271523178808,65,84,6,15,0.9169310099430568,0.1875,0.06666666666666667,65.056005
0.99,11,gaussian,variance,50,0.9440993788819876,76,85,5,4,0.9469652064529516,0.05,0.05555555555555555,59.953442
0.99,11,gaussian,variance,80,0.9090909090909091,70,86,4,10,0.9210350083777503,0.125,0.044444444444444446,63.811924
0.99,11,gaussian,variance,100,0.8947368421052632,68,86,4,12,0.9306653884048237,0.15,0.044444444444444446,62.452174
0.99,11,gaussian,scott,50,0.7901234567901234,64,72,18,16,0.76133723256018,0.2,0.2,71.035203
0.99,11,gaussian,scott,80,0.8571428571428571,60,90,0,20,0.8676470588235294,0.25,0.0,70.976602
0.99,11,gaussian,scott,100,0.935064935064935,72,88,2,8,0.8493647556324037,0.1,0.022222222222222223,67.91785
0.99,11,gaussian,silverman,50,0.8571428571428571,60,90,0,20,0.8676470588235294,0.25,0.0,71.003302
0.99,11,gaussian,silverman,80,0.935064935064935,72,88,2,8,0.8493647556324037,0.1,0.022222222222222223,68.058764
0.99,11,gaussian,silverman,100,0.92,69,89,1,11,0.9402980099984114,0.1375,0.011111111111111112,76.154498
