alpha,ws,kernel,bandwidth,gridsize,F1,tp,tn,fp,fn,AUCPR,FNR,FPR,elapsed
0.95,10,epanechnikov,variance,100,0.8591549295774648,61,90,0,20,0.9453941120607787,0.24691358024691357,0.0,73.521772
0.95,10,epanechnikov,scott,50,0.8888888888888888,68,86,4,13,0.9255931920098813,0.16049382716049382,0.044444444444444446,69.01304
0.95,10,epanechnikov,scott,80,0.8205128205128205,64,79,11,17,0.9080137797730391,0.20987654320987653,0.12222222222222222,71.012787
0.95,10,epanechnikov,scott,100,0.8756756756756757,81,67,23,0,0.9243284675632346,0.0,0.25555555555555554,72.034364
0.95,10,epanechnikov,silverman,50,0.7943262411347518,56,86,4,25,0.9005926456118025,0.30864197530864196,0.044444444444444446,71.695338
0.95,10,epanechnikov,silverman,80,0.8804347826086957,81,68,22,0,0.9281968320474957,0.0,0.24444444444444444,72.169977
0.95,10,epanechnikov,silverman,100,0.9152542372881356,81,75,15,0,0.9550792890591742,0.0,0.16666666666666666,72.420197
0.99,10,gaussian,variance,50,0.9580838323353293,80,84,6,1,0.946343642044125,0.012345679012345678,0.06666666666666667,69.360451
0.99,10,gaussian,variance,80,0.9454545454545454,78,84,6,3,0.8389974223307557,0.037037037037037035,0.06666666666666667,71.418267
0.99,10,gaussian,variance,100,0.912751677852349,68,90,0,13,0.9616097538828192,0.16049382716049382,0.0,67.397291
0.99,10,gaussian,scott,50,0.88,66,87,3,15,0.8471215032186631,0.18518518518518517,0.03333333333333333,67.187388
0.99,10,gaussian,scott,80,0.8648648648648649,64,87,3,17,0.9120069732574133,0.20987654320987653,0.03333333333333333,65.15198
0.99,10,gaussian,scott,100,0.8606060606060606,71,77,13,10,0.8553838751013941,0.12345679012345678,0.14444444444444443,67.89259
0.99,10,gaussian,silverman,50,0.8648648648648649,64,87,3,17,0.9411551241417063,0.20987654320987653,0.03333333333333333,66.039787
0.99,10,gaussian,silverman,80,0.9176470588235294,78,79,11,3,0.9163198695265187,0.037037037037037035,0.12222222222222222,67.281383
0.99,10,gaussian,silverman,100,0.9176470588235294,78,79,11,3,0.9163198695265187,0.037037037037037035,0.12222222222222222,63.355505
0.99,10,cosine,variance,50,0.8428571428571429,59,90,0,22,0.9283950617283951,0.2716049382716049,0.0,77.160732
0.99,10,cosine,variance,80,0.875,63,90,0,18,0.9460020768431985,0.2222222222222222,0.0,72.412662
