alpha,ws,kernel,bandwidth,gridsize,F1,tp,tn,fp,fn,AUCPR,FNR,FPR,elapsed
0.9,10,gaussian,variance,50,0.5416393442622951,413,348,382,317,0.49350745354432457,0.43424657534246575,0.5232876712328767,667.780135
0.9,10,gaussian,variance,80,0.47364280094413846,301,490,240,429,0.3793308831738433,0.5876712328767123,0.3287671232876712,662.589434
0.9,10,gaussian,variance,100,0.5587846763540291,423,369,361,307,0.4428767787703855,0.42054794520547945,0.4945205479452055,674.821394
0.9,10,gaussian,scott,50,0.5511363636363636,388,440,290,342,0.39567527374171724,0.4684931506849315,0.3972602739726027,650.887165
0.9,10,gaussian,scott,80,0.5770006724949562,429,402,328,301,0.4086471050318051,0.4123287671232877,0.44931506849315067,656.945018
0.9,10,gaussian,scott,100,0.5314787701317716,363,457,273,367,0.4696618534535018,0.5027397260273972,0.37397260273972605,664.42358
0.9,10,gaussian,silverman,50,0.5068912710566615,331,485,245,399,0.45922285831115595,0.5465753424657535,0.3356164383561644,670.933506
0.9,10,gaussian,silverman,80,0.5434173669467787,388,420,310,342,0.3979518489507728,0.4684931506849315,0.4246575342465753,668.447162
0.9,10,gaussian,silverman,100,0.5542337298810357,396,427,303,334,0.4390845952358776,0.4575342465753425,0.41506849315068495,673.01356
0.9,10,cosine,variance,50,0.36116152450090744,199,557,173,531,0.4103577471542205,0.7273972602739726,0.236986301369863,678.658756
0.9,10,cosine,variance,80,0.42857142857142855,261,503,227,469,0.39964130523897046,0.6424657534246575,0.31095890410958904,693.949159
0.9,10,cosine,variance,100,0.5447419986936642,417,346,384,313,0.3924259594240043,0.42876712328767125,0.5260273972602739,686.364002
0.9,10,cosine,scott,50,0.5014204545454546,353,405,325,377,0.39728405407969125,0.5164383561643836,0.4452054794520548,779.534731
0.9,10,cosine,scott,80,0.5218598195697433,376,395,335,354,0.4769420144370017,0.4849315068493151,0.4589041095890411,823.406905
0.9,10,cosine,scott,100,0.5403899721448467,388,412,318,342,0.361071451127478,0.4684931506849315,0.43561643835616437,767.664672
0.9,10,cosine,silverman,50,0.5212298682284041,356,450,280,374,0.4082123883945357,0.5123287671232877,0.3835616438356164,715.828831
0.9,10,cosine,silverman,80,0.3033932135728543,152,610,120,578,0.4677362341729773,0.7917808219178082,0.1643835616438356,815.564465
