alpha,ws,kernel,bandwidth,gridsize,F1,tp,tn,fp,fn,AUCPR,FNR,FPR,elapsed
0.9,10,cosine,silverman,80,0.607094133697135,445,439,291,285,0.4782699068565577,0.3904109589041096,0.39863013698630134,637.260025
0.9,10,cosine,silverman,100,0.6086956521739131,441,452,278,289,0.46046893898779107,0.3958904109589041,0.38082191780821917,607.275552
0.9,10,epanechnikov,variance,50,0.6127090301003344,458,423,307,272,0.4538842596301774,0.3726027397260274,0.42054794520547945,585.786576
0.9,10,epanechnikov,variance,80,0.5619469026548672,381,485,245,349,0.4594602408048742,0.4780821917808219,0.3356164383561644,656.57391
0.9,10,epanechnikov,variance,100,0.5522827687776142,375,477,253,355,0.4172452538070748,0.4863013698630137,0.34657534246575344,631.089908
0.9,10,epanechnikov,scott,50,0.5777126099706745,394,490,240,336,0.4592184332321628,0.4602739726027397,0.3287671232876712,581.547373
0.9,10,epanechnikov,scott,80,0.590302178496135,420,457,273,310,0.4396784615144999,0.4246575342465753,0.37397260273972605,616.266621
0.9,10,epanechnikov,scott,100,0.5775623268698061,417,433,297,313,0.4475750436096432,0.42876712328767125,0.40684931506849314,626.070763
0.9,10,epanechnikov,silverman,50,0.5938615274803711,416,475,255,314,0.4925578984913844,0.4301369863013699,0.3493150684931507,585.574107
0.9,10,epanechnikov,silverman,80,0.6139119336311423,481,374,356,249,0.4169053395497052,0.3410958904109589,0.4876712328767123,664.52995
0.9,10,epanechnikov,silverman,100,0.5987780040733197,441,428,302,289,0.4657130849168118,0.3958904109589041,0.4136986301369863,622.949494
0.95,10,gaussian,variance,50,0.6172148355493352,441,472,258,289,0.45739335946214277,0.3958904109589041,0.35342465753424657,601.109779
0.95,10,gaussian,variance,80,0.6080332409972299,439,455,275,291,0.43903568139524024,0.39863013698630134,0.3767123287671233,595.13843
0.95,10,gaussian,variance,100,0.5955678670360111,430,446,284,300,0.44831578674574135,0.410958904109589,0.38904109589041097,587.274904
0.95,10,gaussian,scott,50,0.5927029039463887,398,515,215,332,0.41546357644873444,0.4547945205479452,0.2945205479452055,544.399913
0.95,10,gaussian,scott,80,0.5936139332365747,409,491,239,321,0.43946016411438155,0.4397260273972603,0.3273972602739726,557.508822
0.95,10,gaussian,scott,100,0.6126373626373627,446,450,280,284,0.4645159467174712,0.38904109589041097,0.3835616438356164,569.547251
0.95,10,gaussian,silverman,50,0.6054913294797688,419,495,235,311,0.44775148400910947,0.426027397260274,0.3219178082191781,548.283331
0.95,10,gaussian,silverman,80,0.6153846153846154,444,461,269,286,0.44203800509757973,0.3917808219178082,0.3684931506849315,565.633672
0.95,10,gaussian,silverman,100,0.6164290563475899,454,441,289,276,0.4574303729172159,0.3780821917808219,0.3958904109589041,593.412796
0.95,10,cosine,variance,50,0.6054054054054054,448,428,302,282,0.45783005091323664,0.3863013698630137,0.4136986301369863,599.48118
0.95,10,cosine,variance,80,0.5578330893118595,381,475,255,349,0.43986516145382354,0.4780821917808219,0.3493150684931507,619.240182
0.95,10,cosine,variance,100,0.5364341085271318,346,516,214,384,0.4283149758742554,0.5260273972602739,0.29315068493150687,627.991149
0.95,10,cosine,scott,50,0.6029309141660851,432,459,271,298,0.4579719441296958,0.40821917808219177,0.37123287671232874,590.032772
0.95,10,cosine,scott,80,0.5830258302583026,395,500,230,335,0.4452387921470222,0.4589041095890411,0.3150684931506849,591.228632
0.95,10,cosine,scott,100,0.5821205821205822,420,437,293,310,0.45714925565713727,0.4246575342465753,0.40136986301369865,635.45478
0.95,10,cosine,silverman,50,0.5491624180626365,377,464,266,353,0.4859680044613759,0.48356164383561645,0.3643835616438356,637.875527
0.95,10,cosine,silverman,80,0.6061433447098976,444,439,291,286,0.4784906058369157,0.3917808219178082,0.39863013698630134,622.709294
0.95,10,cosine,silverman,100,0.6091644204851752,452,428,302,278,0.46517951188620876,0.38082191780821917,0.4136986301369863,655.887141
0.95,10,epanechnikov,variance,50,0.5835065835065835,421,438,292,309,0.48466784694756054,0.4232876712328767,0.4,651.724788
0.95,10,epanechnikov,variance,80,0.5659824046920822,386,482,248,344,0.46052069043959576,0.4712328767123288,0.33972602739726027,648.603764
0.95,10,epanechnikov,variance,100,0.5798561151079137,403,473,257,327,0.49559281176789965,0.44794520547945205,0.35205479452054794,632.546842
0.95,10,epanechnikov,scott,50,0.5833935018050541,404,479,251,326,0.4576951266631344,0.4465753424657534,0.34383561643835614,576.268815
0.95,10,epanechnikov,scott,80,0.5859778597785977,397,502,228,333,0.44581499369316935,0.45616438356164385,0.31232876712328766,590.52311
0.95,10,epanechnikov,scott,100,0.5732305536089699,409,442,288,321,0.4475088029943898,0.4397260273972603,0.39452054794520547,626.754475
0.95,10,epanechnikov,silverman,50,0.6134969325153374,450,443,287,280,0.453303263997028,0.3835616438356164,0.39315068493150684,624.137476
0.95,10,epanechnikov,silverman,80,0.6182281708094327,485,376,354,245,0.448258806189227,0.3356164383561644,0.4849315068493151,633.986523
0.95,10,epanechnikov,silverman,100,0.6059800664451828,456,411,319,274,0.45779289724941646,0.37534246575342467,0.436986301369863,627.743721
